,id,entry_date,entry_weekday,exit_date,exit_weekday,duration,symbol,long,short,nshares,entry_price,entry_score,entry_value,exit_price,exit_score,exit_value,entry_comm,exit_comm,$change,%change,profitable,p.positions,p.cash,p.sh_cash,p.invested_capital,market_value
2020-09-09 00:00:00 MS,22,2020-05-28,4,2020-09-09 00:00:00,3,104,MS,1,0,29,45.81,0,1328.41,49.39,0,1432.22,0.0,-1.43,103.81,7.81,1,l: 9 s: 0,2654.63,0.0,9391.43,12046.06
2020-09-09 00:00:00 MXIM,31,2020-07-14,2,2020-09-09 00:00:00,3,57,MXIM,1,0,18,67.06,0,1207.12,65.99,0,1187.82,0.0,-1.19,-19.3,-1.6,0,l: 8 s: 0,3841.26,0.0,8184.31,12025.57
2020-09-21 00:00:00 ISRG,33,2020-07-20,1,2020-09-21 00:00:00,1,63,ISRG,1,0,5,215.15,0,1075.73,216.03,0,1080.17,0.0,-1.08,4.43,0.41,1,l: 7 s: 0,4920.35,0.0,7108.57,12028.92
2020-09-21 00:00:00 ROL,30,2020-07-08,3,2020-09-21 00:00:00,1,75,ROL,1,0,41,29.93,0,1227.06,34.5,0,1414.59,0.0,-1.41,187.52,15.28,1,l: 6 s: 0,6333.52,0.0,5881.51,12215.03
2020-09-24 00:00:00 APD,29,2020-07-08,3,2020-09-24 00:00:00,4,78,APD,1,0,4,261.11,0,1044.43,279.84,0,1119.35,0.0,-1.12,74.92,7.17,1,l: 5 s: 0,7451.76,0.0,4837.08,12288.83
2020-09-24 00:00:00 NKE,36,2020-09-24,4,0,0,0,NKE,1,0,9,125.47,0,1129.23,0.0,0,0.0,-1.13,0.0,0.0,0.0,0,l: 5 s: 0,6321.4,0.0,5966.3,12287.7
2020-10-12 00:00:00 XLNX,37,2020-10-12,1,0,0,0,XLNX,1,0,10,116.92,0,1169.18,0.0,0,0.0,-1.17,0.0,0.0,0.0,0,l: 6 s: 0,5151.05,0.0,7135.48,12286.53
2020-10-23 00:00:00 ALGN,38,2020-10-23,5,0,0,0,ALGN,1,0,2,451.34,0,902.68,0.0,0,0.0,-0.9,0.0,0.0,0.0,0,l: 7 s: 0,4247.47,0.0,8038.16,12285.63
2020-10-29 00:00:00 AMD,34,2020-07-27,1,2020-10-29 00:00:00,4,94,AMD,1,0,18,69.28,0,1247.04,76.75,0,1381.5,0.0,-1.38,134.46,10.78,1,l: 7 s: 0,5627.59,0.0,6791.12,12418.71
2020-10-29 00:00:00 NKE,36,2020-09-24,4,2020-10-29 00:00:00,4,35,NKE,1,0,9,125.47,0,1129.23,121.34,0,1092.07,0.0,-1.09,-37.15,-3.29,0,l: 6 s: 0,6718.57,0.0,5661.89,12380.46
