,open,high,low,close,d%change,c%change
2020-06-05,13422.27,13506.19,13295.03,13384.32,0.33,33.84
2020-06-08,13377.54,13575.22,13090.06,13521.98,1.03,35.22
2020-06-09,13147.62,13329.32,12817.51,13141.57,-2.81,31.42
2020-06-10,13034.74,13141.87,12638.33,12805.06,-2.56,28.05
2020-06-11,12200.05,12251.26,12025.67,12038.09,-5.99,20.38
2020-06-12,12152.21,12182.66,11953.93,12049.32,0.09,20.49
2020-06-15,11949.9,12209.65,11922.26,12162.24,0.94,21.62
2020-06-16,12296.89,12346.65,12141.84,12263.07,0.83,22.63
2020-06-17,12290.78,12335.31,12196.04,12224.09,-0.32,22.24
2020-06-18,12192.0,12295.08,12171.49,12251.67,0.23,22.52
2020-06-19,12303.63,12359.86,12175.61,12249.89,-0.01,22.5
2020-06-22,12239.46,12363.35,12197.53,12312.11,0.51,23.12
2020-06-23,12365.52,12395.33,12226.59,12250.96,-0.5,22.51
2020-06-24,12226.37,12288.95,12097.19,12165.84,-0.69,21.66
2020-06-25,12156.94,12304.37,12112.06,12289.93,1.02,22.9
2020-06-26,12282.97,12340.13,12157.93,12224.17,-0.54,22.24
2020-06-29,12238.05,12277.53,12106.49,12208.2,-0.13,22.08
2020-06-30,12194.56,12298.15,12157.12,12269.56,0.5,22.7
2020-07-01,12263.67,12340.28,12207.46,12279.3,0.08,22.79
2020-07-02,12352.62,12371.1,12254.17,12279.43,0.0,22.79
2020-07-06,12354.84,12405.98,12205.2,12245.02,-0.28,22.45
2020-07-07,12204.41,12270.58,12129.53,12173.54,-0.58,21.74
2020-07-08,12198.33,12363.76,12095.48,12253.0,0.65,22.53
2020-07-09,12303.65,12414.22,12147.63,12307.79,0.45,23.08
2020-07-10,12331.15,12423.43,12210.62,12331.82,0.2,23.32
2020-07-13,12393.13,12479.53,12110.48,12147.43,-1.5,21.47
2020-07-14,12143.16,12381.56,12027.53,12346.36,1.64,23.46
2020-07-15,12410.81,12533.36,12246.17,12437.13,0.74,24.37
2020-07-16,12416.28,12579.89,12291.8,12447.5,0.08,24.48
2020-07-17,12482.61,12583.8,12343.78,12483.58,0.29,24.84
2020-07-20,12492.52,12732.29,12364.11,12615.33,1.06,26.15
2020-07-21,12638.84,12722.33,12402.27,12484.98,-1.03,24.85
2020-07-22,12531.19,12698.01,12389.98,12559.87,0.6,25.6
2020-07-23,12549.65,12730.57,12401.24,12499.19,-0.48,24.99
2020-07-24,12424.33,12533.07,12266.31,12370.69,-1.03,23.71
2020-07-27,12422.42,12659.61,12320.23,12556.94,1.51,25.57
2020-07-28,12493.99,12613.85,12334.11,12412.62,-1.15,24.13
2020-07-29,12556.55,12848.66,12457.36,12728.55,2.55,27.29
2020-07-30,12633.81,12849.32,12429.23,12643.54,-0.67,26.44
2020-07-31,12689.31,12755.47,12423.66,12649.47,0.05,26.49
2020-08-03,12735.08,12863.63,12584.07,12710.15,0.48,27.1
2020-08-04,12695.76,12972.11,12614.05,12860.35,1.18,28.6
2020-08-05,12913.0,13062.41,12792.24,12963.36,0.8,29.63
2020-08-06,12949.63,13026.86,12764.35,12901.27,-0.48,29.01
2020-08-07,12823.67,13013.11,12624.06,12911.44,0.08,29.11
2020-08-10,12917.56,13088.86,12685.07,12912.17,0.01,29.12
